Date,LW_down,SW_down,T2m,Nao,GBI
1981-11-08,305.7180238279187,239.0917913904946,273.8918344279657,0.122000001,5409.859973323475
1981-11-09,306.06990273758333,239.33478743569026,273.12495043555435,0.550000012,5422.994732161782
1981-11-10,307.5986756997519,235.25439968504344,272.71874622428084,0.592000008,5433.176172550722
1981-11-11,309.118547705959,227.59499615805913,272.0142820177879,0.248999998,5438.073197646847
1981-11-12,309.38322396999854,232.0720429199238,272.2244790418648,-0.052999999,5439.67092220735
1981-11-13,308.1808251694825,232.89238923246126,272.2837554300468,-0.02,5445.4862139416
1981-11-14,307.67978381633554,237.90117143505634,272.67042614684317,0.119999997,5468.289097089618
1981-11-15,307.1819984649442,241.9275174703767,272.45938761263335,-0.043000001,5506.785378797913
1981-11-16,305.12560311015295,242.40531267947964,272.13235901088814,-0.203999996,5542.214281724362
1981-11-17,303.2894658644983,252.1187302304745,271.78390705094796,-0.115000002,5567.646937940341
1981-11-18,302.7175241825913,251.42862113005546,271.3455463144665,0.030999999,5574.621127401855
1981-11-19,303.59272248314596,254.76338950637268,270.83347949951303,0.034000002,5556.769016731613
1981-11-20,305.6405932258521,251.71179979605904,270.7113160773531,0.002,5529.023931415062
1981-11-21,306.4941014207476,244.69995639618907,271.0533738428944,-0.223000005,5503.248838481535
1981-11-22,307.05098797367896,244.09052088973743,271.32646941222816,-0.460999995,5478.146665904753
1981-11-23,309.06445317089435,242.3053722439051,271.2988621459628,-0.303000003,5448.396945470086
1981-11-24,310.2961687074086,243.415022480865,271.1661923348625,-0.179000005,5420.977087789972
1981-11-25,310.861766551428,245.13695054490046,270.9172961427657,-0.273999989,5402.090754693691
1981-11-26,311.9333587073814,241.7962967999736,270.7118343799984,-0.066,5398.014561738428
1981-11-27,313.1028058969488,240.34212954444106,270.36945889416575,-0.015,5408.804050448012
1981-11-28,313.1424273761498,242.34641379201935,270.60235496826147,-0.263999999,5417.081294903586
1981-11-29,311.87190088123054,233.8357432006693,270.5706622363176,-0.273999989,5416.7494394715095
1981-11-30,311.04036853194486,237.77237939720393,270.4611640316647,-0.60799998,5407.15197178611
1981-12-01,311.06572202383643,237.24825022707878,270.03868331353135,-0.856000006,5396.727365918436
1981-12-02,311.82323056558573,239.86555261761345,270.000120098669,-1.136000037,5394.8427048705835
1981-12-03,312.2615772743202,240.2519625008302,270.66140659905824,-0.908999979,5392.558517076018
1981-12-04,312.3623153618215,239.46292683141007,270.5293167569959,-0.342999995,5391.679670273273
1981-12-05,312.5649633414471,244.8091418196392,270.0265131668849,-0.129999995,5407.339537857892
1981-12-06,312.8293230366522,245.59445850544068,269.6907065569998,-0.068000004,5434.556382302798
1981-12-07,313.35605791422273,245.23178302514054,269.4861511649827,0.165999994,5453.318054513782
1981-12-08,314.5420389978011,244.03968982414165,269.377907187991,0.013,5466.611468600355
1981-12-09,314.6339742762142,244.7879372660625,269.1898050127905,0.261000007,5486.675566873696
1981-12-10,314.91778474724765,245.78352700663675,268.6728244109018,0.583000004,5509.129161845572
1981-12-11,315.55705847439026,243.93993592621126,269.0528722843079,0.799000025,5526.108243865545
1981-12-12,315.72902481616654,241.83381428388458,269.0136807596508,0.776000023,5536.88471232669
1981-12-13,316.35149481886356,242.62087542707877,268.2061591684992,0.589999974,5541.411399830769
1981-12-14,317.5505848649035,240.82996905194193,267.3298510756455,0.646000028,5539.898915406137
1981-12-15,318.8772771768996,241.7432036414778,266.7238778066713,0.737999976,5534.362485235813
1981-12-16,319.37000927694464,241.34111326320203,266.2159598671936,0.708000004,5532.409903326392
1981-12-17,318.93439796196947,247.13164181124412,265.3192089149379,0.479999989,5533.805930238967
1981-12-18,319.10460795637283,245.56980692310998,265.0555115536851,0.456,5528.738094001485
1981-12-19,319.7688782148048,240.93765520519983,265.3784784745215,0.377999991,5514.706567171559
1981-12-20,319.6134373651718,241.4750063498454,266.128664095563,0.229000002,5493.852868745987
1981-12-21,320.1545105813087,232.00739106317968,266.5584441412672,0.140000001,5478.111311787017
1981-12-22,320.24546568349786,230.09002835144662,266.49505575656656,0.024,5477.6789980997
1981-12-23,318.7078137366577,228.32901314121685,266.6364678547405,-0.284000009,5487.3867818635445
1981-12-24,317.7697424409408,228.68142017046404,266.7034073774601,-0.474000007,5498.850012157887
1981-12-25,317.9170606783102,232.15483884775585,266.2181297477746,-0.726999998,5510.001277340212
1981-12-26,318.3015078269817,232.19611864217148,265.9099486779479,-0.941999972,5520.613302549688
1981-12-27,317.8761038646719,235.9720355016216,265.7829303776215,-1.075999975,5528.700480038826
1981-12-28,318.4017287177611,234.8983340318047,265.43064614662205,-1.24000001,5527.479373681743
1981-12-29,319.84930134296394,233.41775444031893,265.281176905634,-1.138000011,5519.7384928919655
1981-12-30,320.56906491228904,235.05754912250512,265.64778224360094,-1.254999995,5513.452222777393
1981-12-31,320.19309352486755,234.8601642603744,265.80144171982516,-1.253000021,5508.870919471449
1982-01-01,320.44402064957103,234.541527724464,265.6527962493109,-1.281999946,5504.59424474049
1982-01-02,321.9773575466047,232.9336468942932,265.3962775506119,-1.218000054,5501.603667962663
1982-01-03,322.89083104079805,232.96198267169092,264.77000300951494,-1.136000037,5501.280366784448
1982-01-04,323.8428647307011,225.91196502477723,264.8329591296891,-0.699999988,5504.182579880374
1982-01-05,325.15474734376687,225.52754212064553,264.90462885531184,-0.632000029,5508.835298910997
1982-01-06,325.61386885280126,226.53471327398634,264.226156498808,-1.044999957,5518.304481886047
1982-01-07,324.7385685872134,227.8550218031624,263.5194774312053,-1.504999995,5530.2577773312005
1982-01-08,323.8421042471538,230.39432268864698,262.90163312776485,-1.787999988,5538.8995843104285
1982-01-09,323.88648397939784,228.93582606138196,262.8967422428534,-1.771999955,5548.812848982521
1982-01-10,323.59460226639317,229.89414255813392,262.63308585974823,-1.430999994,5561.081083074723
1982-01-11,324.59585032439486,225.90739339989432,262.32234829505427,-0.874000013,5570.505297613111
1982-01-12,325.5229654399201,226.18082075475996,262.6882836288733,-0.209999993,5573.915952639309
1982-01-13,325.49881787951057,226.0637263701421,262.3472326780292,0.034000002,5572.090701610565
1982-01-14,325.7810077417323,220.40255419574441,262.8177069350052,0.059999999,5563.353154752771
1982-01-15,326.33822753270107,223.82927618517772,263.0861701816286,-0.342999995,5549.313122766064
1982-01-16,326.9925641074447,223.96106033264132,262.2846420302744,-0.372999996,5534.900793740615
1982-01-17,327.2465239432121,223.35384254919336,261.8637054593014,-0.209000006,5528.461740970533
1982-01-18,327.5800344929829,220.54976255039486,262.24061371957606,-0.234999999,5535.170650179821
1982-01-19,327.1372602320272,218.78076748493092,261.91860588860146,-0.194000006,5546.771892067256
1982-01-20,326.94564413927606,219.30095607404206,262.0899365253916,-0.165000007,5559.247142246378
1982-01-21,327.2974577619201,216.42725262958035,262.4718611745403,-0.152999997,5573.240512238939
1982-01-22,327.21987355506553,214.69666057182621,262.56728908998264,-0.377000004,5583.759410807711
1982-01-23,329.01022203380194,214.20545064268413,262.90410961866087,-0.407000005,5587.393602204858
1982-01-24,330.7384589275814,211.44776326980508,263.17700578786514,-0.280000001,5585.831450630105
1982-01-25,331.0603867196079,209.459109065669,264.19570276602803,-0.127000004,5579.2812602883605
1982-01-26,331.9375509071302,213.2939920265608,264.42360910625604,-0.112000003,5566.250910206107
1982-01-27,331.4114639850718,216.30069628436257,265.13210581180346,0.032000002,5546.9608417296295
1982-01-28,330.83522049792725,212.61596400971308,264.9710883874411,0.375,5529.463078577266
1982-01-29,330.3867766685345,211.68899715823053,264.8735043201108,0.465000004,5518.422548232996
1982-01-30,330.4010343049721,208.3835223004117,264.5658329851098,0.444000006,5514.801384883989
1982-01-31,330.15154756928786,206.56917633766398,264.04782368186966,0.583000004,5519.239360554335
1982-02-01,329.54912307403976,204.5742716970351,263.800349311605,0.728999972,5523.758059316287
1982-02-02,330.4765274530677,202.54152842996987,263.6844612391487,0.726000011,5527.580919512471
1982-02-03,330.75703998031713,202.72296047511443,263.3086914701722,0.261999995,5534.554937785602
1982-02-04,330.2476009179801,201.4995507133428,262.9895479789611,0.189999998,5542.231116364961
